hydroID (GLAHF database),bottle/vial ID,stream name,TPmgL,TNmgL,SRPmgL,NitratemgL,NH4mgL,DINmgL,Flowlitersday,TPload_kgday,TNload_kgday,SRP percent of TP,DIN percent of TN,Load N:P,urban,barren,forest,shrubland,herbaceous,agriculture,wetland,Strahler order,Areakm2,damspresent,percentwater,percentTP,percentTN
2109492,1,no name,0.083625,0.79117,0.083625,0.444,0.224074,0.668074,3485929.578,0.291510861,2.757962904,100,84.44127052,20.92140954,68.92777559,0,15.55249705,1.350111417,3.598112466,0.294927251,10.27657622,1,13.779,no,0.006115044,0.010247724,0.004851051
2109486,2,sauk creek,0.257468,1.132793,0.23036,0.584456,0.065558,0.650014,22791163.7,5.867995336,25.8176707,89.47131294,57.38153396,9.729366379,14.0999417,0.054348363,3.676913803,0.454549946,0.359687349,77.70531329,3.649245546,3,91.224,no,0.039980434,0.206282529,0.04541136
2109483,3,sucker creek,0.385037,1.074872,0.361291,0.122832,0.187109,0.309941,7307755.268,2.813756165,7.85490152,93.83280048,28.83515433,6.173217031,15.25897541,0.018845997,2.336903603,0.248138958,0.23557496,78.95216258,2.949398499,1,28.7037,no,0.01281932,0.098914315,0.013816187
2109477,4,Barr Creek,0.594784,1.090002,0.525954,0.167758,0.120383,0.288141,6753673.975,4.016977221,7.36151814,88.42773175,26.43490562,4.05252104,20.79471649,0.153251113,2.295117857,0.105816245,1.087353134,68.73312413,6.830621032,2,24.7248,no,0.011847347,0.141212147,0.012948362
2109476,5,no name,0.083526,1.311216,0.061987,1.136372,0.121015,1.257387,912407.1073,0.076209716,1.196362798,74.21281996,95.89472673,34.71441227,18.43775876,0.027601435,2.677339222,0.690035882,1.159260282,63.64890974,13.35909467,1,3.2607,no,0.001600552,0.002679064,0.002104313
2109472,6,Black River,0.28765,0.849248,0.240689,0.002946,0.037237,0.040183,14378730.36,4.136041787,12.211108,83.67425691,4.731597837,6.528710558,27.69814183,0.034129693,5.58589306,0.176336746,0.424725066,50.45506257,15.62571104,2,47.5236,yes,0.025223279,0.145397723,0.02147843
2109470,7,Sheboygan River,0.152648,1.154547,0.139758,0.465884,0.10738,0.573264,350564276.4,53.51293566,404.7429336,91.55573607,49.65272094,16.725448,9.961867832,0.157891008,10.22547577,0.522062873,0.594204812,63.93039913,14.60809858,4,1126.8315,yes,0.614962542,1.881184813,0.711912681
2109468,8,Pigeon River,0.301859,0.899002,0.293435,0.344895,0.138046,0.482941,65053740.03,19.63705691,58.48344239,97.20929308,53.71968027,6.585879642,11.57883038,0.143146102,10.96534708,0.469003534,0.568583432,70.66260641,5.612483051,3,203.3235,yes,0.11411777,0.690317823,0.10286802
2109460,10,centerville creek,0.308803,6.624621,0.162228,6.54053,0.084091,6.624621,7115451.769,2.197272853,47.13717121,52.53446372,100,47.43913777,16.08668965,0.165258039,6.336465367,0.198309646,0.64686718,71.46701922,5.099390906,2,19.1385,yes,0.01248198,0.077242563,0.082910774
2109462,11,sevenmile creek,0.227299,5.264,0.192017,1.460982,0.199047,1.660029,9611723.75,2.184735197,50.59611382,84.47771438,31.53550532,51.21245747,11.07430042,0.022515278,4.509488582,0.070762303,0.63042779,78.41749759,5.275008041,2,28.0035,no,0.01686096,0.076801817,0.088994797
2109458,12,Fischer Creek,0.069925,3.427862,0.040266,3.403697,0.024165,3.427862,11346934.07,0.793434365,38.89572411,57.58455488,100,108.4047009,5.453114119,0.27553214,6.098040997,0.393617343,0.387561692,82.41438823,4.977745481,2,29.7711,no,0.019904879,0.027892259,0.068414682
2109456,13,Point Creek,0.121349,2.536305,0.105722,2.313117,0.069377,2.382494,21843062.46,2.650633787,55.40066854,87.12226718,93.93562683,46.21921199,6.405239198,0.159731651,4.523600351,0.372174746,0.420094242,80.25077869,7.86838112,2,56.412,no,0.038317268,0.093179938,0.097445651
2109455,14,Pine Creek,0.059851,5.874979,0.038169,5.786504,0.088475,5.874979,11094840.88,0.664037322,65.18195721,63.77337054,100,217.0661824,8.499408208,0.188733566,3.582738876,0.687757909,0.594990563,79.75432648,6.6920444,2,28.2276,no,0.019462655,0.023343457,0.114650209
2109453,15,Calvin Creek ,0.215858,2.87,0.16188,2.578376,0.084605,2.662981,7293370.206,1.574332306,20.93197249,74.99374589,92.78679443,29.40160296,8.99868312,0.102424036,3.570209238,1.760717944,1.555869873,69.83856021,14.17353558,2,18.6966,no,0.012794086,0.055343815,0.036817781
2109452,16,Silver Creek,0.181127,1.574351,0.141481,0.836331,0.096333,0.932664,24352005.98,4.410805786,38.33860496,78.11149083,59.24117303,19.22098462,12.92059603,0.152425995,3.797828998,0.995754865,0.556995926,73.47075415,8.105644035,2,63.819,no,0.042718476,0.155056731,0.067434751
2109449,17,Manitowac River,0.165048,1.517932,0.063779,0.199089,0.022692,0.221781,520590414.7,85.92240677,790.2208494,38.64269788,14.61073355,20.33758173,7.850644247,0.297446564,6.278795288,0.486261621,0.582786206,69.64629264,14.85777344,5,1368.0153,yes,0.913223698,3.020501953,1.389939631
2109448,18,Little Manitowac River,0.063047,1.474073,0.016004,0.966245,0.155458,1.121703,13585959.94,0.856554017,20.02669673,25.38423716,76.09548509,51.70253366,30.561601,1.278298937,3.727329581,0.205128205,1.265791119,58.34396498,4.617886179,2,36.0846,no,0.023832595,0.030111157,0.035225468
2109446,19,no name,0.112,1.020777,0.071999,0.56148,0.115334,0.676814,1626098.27,0.182123006,1.659883714,64.28482143,66.30380583,20.15441116,9.481216458,0,1.132975552,0.477042338,1.90816935,69.76744186,17.23315444,1,4.5279,no,0.002852514,0.006402322,0.002919612
2109445,20,east twin,0.079361,1.108053,0.003464,0.130971,0.01074,0.141711,264380914,20.98153372,292.9480649,4.364864354,12.78918969,30.87526281,7.77417443,0.28704503,8.896217861,1.028157696,0.637024453,71.19037711,10.18700342,5,788.1003,yes,0.463779027,0.737581336,0.515273832
2109444,21,molash creek,0.210947,1.075262,0.181493,0.092725,0.122843,0.215568,11498680.81,2.42561222,12.36409452,86.03725106,20.0479511,11.27192798,6.118660429,0.004950373,2.019751986,0.690576966,0.185638969,52.31306156,38.66735972,2,36.4203,no,0.020171074,0.085269567,0.021747522
2109435,22,no name,0.140462,6.752745,0.107715,6.653006,0.099739,6.752745,3747513.007,0.526383172,25.30599972,76.68622118,100,106.311137,4.995611962,0.020252481,1.464929454,0.850604199,0,85.16168231,7.506919598,1,13.3857,no,0.006573916,0.018504386,0.044511369
2109430,23,no name,0.07723,2.488126,0.050773,2.229518,0.118237,2.347755,1450942.158,0.112056263,3.610126907,65.74258708,94.35836449,71.24322905,5.940274415,0.0322841,0.920096852,0.629539952,0,91.23486683,1.242937853,1,5.5755,no,0.002545254,0.003939207,0.006349944
2109429,24,no name,0.051936,2.596884,0.031095,2.493086,0.103798,2.596884,1367643.68,0.071029942,3.55161199,59.87176525,100,110.5710193,5.805182027,0.016398819,3.788127255,0,0,87.48770089,2.902591013,1,5.4882,no,0.002399131,0.002496975,0.006247021
2109427,25,no name,0.119162,8.097311,0.104839,7.9861,0.111211,8.097311,5088634.535,0.606371868,41.2042564,87.9802286,100,150.2658516,5.820231856,0.067492457,3.390503414,0.349372717,0,86.25932984,4.113069716,2,22.6692,yes,0.008926522,0.021316295,0.072475219
2109419,26,no name,0.127418,1.552659,0.087911,0.608433,0.100592,0.709025,1089057.086,0.138765476,1.690934286,68.99417665,45.66521046,26.94651227,10.4387292,0.015128593,1.573373676,0.832072617,0,83.40393343,3.736762481,1,5.9958,no,0.001910432,0.004878138,0.002974227
2109417,27,kewaunee river,0.057314,0.886901,0.005952,0.328029,0.017937,0.345966,67290338.52,3.856678462,59.67986852,10.38489723,39.00841244,34.21934449,6.662635945,0.102637116,8.192928522,0.618504424,0.418593652,77.69166445,6.313035889,4,369.9585,yes,0.118041228,0.135577031,0.104972445
2109415,28,mashek creek,0.067906,0.745109,0.037991,0.090331,0.054967,0.145298,3074908.319,0.208804724,2.291141863,55.94645539,19.50023419,24.26436447,3.990312536,0.02306539,5.051320494,0.611232845,0,72.76554031,17.55852843,2,15.6078,yes,0.005394028,0.007340286,0.004029948
2109404,29,threemile creek,0.039503,2.362544,0.030727,2.289101,0.073443,2.362544,3766892.715,0.148803563,8.899449782,77.78396577,100,132.2534736,4.62585034,1.094104308,6.485260771,2.318594104,0.028344671,69.65419501,15.79365079,2,15.957,no,0.006607912,0.005231016,0.015653469
